Detector,Descriptor,AvgKeypointsTotal,AvgKeypointsOnVehicle,AvgNeighborhoodSize,AverageMatches,AvgDetectionTimeMs,AvgDescriptionTimeMs
SHITOMASI,BRISK,1342.3,117.9,4,77,9.45839,21.5866
SHITOMASI,BRIEF,1342.3,117.9,4,94,8.03348,0.568298
SHITOMASI,ORB,1342.3,117.9,4,91,8.26592,0.719166
SHITOMASI,FREAK,1342.3,117.9,4,77,6.61829,15.8603
SHITOMASI,SIFT,1342.3,117.9,4,92,8.95868,11.4552
HARRIS,BRISK,864.5,119.4,6,39,10.059,22.1135
HARRIS,BRIEF,864.5,119.4,6,44,10.4466,0.528952
HARRIS,ORB,864.5,119.4,6,41,9.2826,0.876173
HARRIS,FREAK,864.5,119.4,6,44,8.81496,17.8866
HARRIS,SIFT,864.5,119.4,6,32,10.2815,12.4533
FAST,BRISK,4920.4,409.4,7,219,1.25468,25.7796
FAST,BRIEF,4920.4,409.4,7,285,1.75685,1.24626
FAST,ORB,4920.4,409.4,7,278,1.33252,0.866179
FAST,FREAK,4920.4,409.4,7,223,1.85316,17.4529
FAST,SIFT,4920.4,409.4,7,278,1.22042,18.8523
BRISK,BRISK,2711.6,271.3,22.0507,154,48.9769,11.8179
BRISK,BRIEF,2711.6,271.3,22.0507,169,47.9202,0.526509
BRISK,ORB,2711.6,271.3,22.0507,148,49.4876,2.82198
BRISK,FREAK,2711.6,271.3,22.0507,150,50.4655,14.9092
BRISK,SIFT,2711.6,271.3,22.0507,161,43.6919,21.5311
ORB,BRISK,500,115,55.9452,74,5.99782,18.4006
ORB,BRIEF,500,115,55.9452,55,6.20476,0.459774
ORB,FREAK,500,115,55.9452,41,5.336,16.8431
ORB,SIFT,500,115,55.9452,75,5.26644,37.0667
AKAZE,AKAZE,1343,165.5,7.68672,124,59.4447,44.1108
SIFT,BRISK,1386.1,137.1,5.05607,58,57.8801,8.72815
SIFT,BRIEF,1386.1,137.1,5.05607,70,54.2674,0.563888
SIFT,FREAK,1386.1,137.1,5.05607,59,56.1219,14.0464
SIFT,SIFT,1386.1,137.1,5.05607,79,50.8658,29.8756
