Detector/Descriptor,Img-01,Img-02,Img-03,Img-04,Img-05,Img-06,Img-07,Img-08,Img-09,Img-10,Img-11,Img-12,Img-13,Img-14,Img-15,Img-16,Img-17,Img-18
SHITOMASI/BRISK,NaN,12.7155,13.3275,12.4903,13.0791,13.0137,14.3797,11.8004,12.6218,11.7022,13.8648,11.1899,11.7285,10.9649,12.5626,9.93227,10.3242,10.9456
SHITOMASI/BRIEF,NaN,13.6535,14.9672,11.4627,13.3479,12.5939,15.1536,14.982,12.9348,11.4559,14.2513,11.4588,12.0785,11.2142,12.3672,12.2185,8.17853,10.8743
SHITOMASI/ORB,NaN,13.4079,12.8008,11.272,12.4346,11.9072,14.6025,12.9165,12.9681,11.7376,13.5138,11.0399,11.6048,11.4066,12.0086,10.9409,8.68499,11.0358
SHITOMASI/FREAK,NaN,13.5031,14.3551,11.8881,13.1344,12.7503,12.8573,12.1564,11.6309,12.1296,14.2385,11.3742,12.0184,11.7583,12.5354,10.4388,11.1816,11.2541
SHITOMASI/SIFT,NaN,13.826,13.3275,11.7123,13.0809,12.0556,14.6109,14.0087,14.4325,12.3193,13.5328,11.4035,12.0521,12.3841,12.6919,11.2932,9.68075,11.5895
HARRIS/BRISK,NaN,61.0015,NaN,12.4359,14.4179,12.7582,12.7784,13.4692,97.4175,19.6512,NaN,11.8226,12.3292,11.9987,14.3825,12.0207,11.4644,12.7282
HARRIS/BRIEF,NaN,NaN,NaN,14.8961,44.9166,12.7877,13.5599,13.0617,53.7513,11.0036,13.1502,5.51927,12.0753,13.4095,11.2036,NaN,12.2816,201.783
HARRIS/ORB,NaN,NaN,NaN,81.202,12.9056,13.4692,14.4565,12.7582,39.1512,12.8026,11.9599,10.8422,NaN,11.9426,11.0036,NaN,11.5312,12.2131
HARRIS/FREAK,NaN,11.6055,141.354,17.1513,14.2708,17.2006,12.4947,13.5599,28.6746,13.1502,NaN,10.8536,12.0205,11.9426,14.3825,11.5986,12.0361,12.7384
HARRIS/SIFT,NaN,NaN,NaN,12.4359,14.4179,17.4696,12.7949,12.2792,32.6146,10.9544,11.2142,5.51927,11.414,13.301,11.0834,NaN,12.1132,12.8749
FAST/BRISK,NaN,13.7116,12.3776,13.203,14.0725,13.9945,13.2068,12.9291,13.0463,13.6595,13.3085,12.2451,11.9193,11.9317,11.1762,11.3296,10.6085,9.84892
FAST/BRIEF,NaN,12.4623,13.4948,14.5814,14.3241,16.3182,15.3991,14.0888,13.6029,13.5551,14.4072,12.4502,11.9408,12.902,11.0976,11.232,11.1676,10.5794
