Detector/Descriptor,Img-01,Img-02,Img-03,Img-04,Img-05,Img-06,Img-07,Img-08,Img-09,Img-10,Img-11,Img-12,Img-13,Img-14,Img-15,Img-16,Img-17,Img-18
SHITOMASI/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SHITOMASI/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SHITOMASI/ORB,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SHITOMASI/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SHITOMASI/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
HARRIS/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
HARRIS/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
HARRIS/ORB,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,NaN,9.51617,9.54658
HARRIS/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
HARRIS/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,NaN,9.51617,9.54658
FAST/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
FAST/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
FAST/ORB,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
FAST/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
FAST/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
BRISK/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
BRISK/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
BRISK/ORB,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
BRISK/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
BRISK/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
ORB/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
ORB/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
ORB/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
ORB/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SIFT/BRISK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SIFT/BRIEF,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SIFT/FREAK,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
SIFT/SIFT,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
AKAZE/AKAZE,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
ORB/ORB,NaN,12.5156,12.6142,14.091,16.6894,15.9082,12.6787,11.9844,13.1241,13.0241,11.1746,12.8086,8.95978,9.96439,9.59863,8.57352,9.51617,9.54658
