timestamp,x,y,vx,vy
1033333,0.061182,0.082302,0.253873,0.656869
1066666,0.060625,0.081128,0.252685,0.647120
1100000,0.060076,0.080020,0.250683,0.637939
1133333,0.059780,0.078916,0.249768,0.629276
1166666,0.059319,0.077962,0.247967,0.621664
1200000,0.058746,0.077176,0.245856,0.614846
1233333,0.058626,0.076660,0.246010,0.608579
1266666,0.058642,0.076094,0.247363,0.602289
1300000,0.058328,0.075496,0.248372,0.596211
1333333,0.057856,0.074751,0.247639,0.589461
1366666,0.057398,0.074086,0.246909,0.583011
1400000,0.056964,0.073749,0.245851,0.577540
1433333,0.056528,0.073194,0.244379,0.571556
1466666,0.056095,0.073245,0.243864,0.567150
1500000,0.055609,0.073531,0.242413,0.563383
1533333,0.055128,0.072988,0.241346,0.557807
1566666,0.054697,0.072432,0.239789,0.552304
1600000,0.054332,0.071929,0.238477,0.547423
1633333,0.053924,0.071425,0.236828,0.542956
1666666,0.053659,0.070971,0.234938,0.538760
1700000,0.053279,0.070691,0.233560,0.535325
1733333,0.052867,0.070224,0.232219,0.531186
1766666,0.052445,0.069837,0.231324,0.527212
1800000,0.052049,0.069777,0.230474,0.524172
1833333,0.051748,0.070074,0.230675,0.521872
1866666,0.051628,0.070987,0.231304,0.521099
1900000,0.051544,0.071088,0.231692,0.518407
1933333,0.051607,0.070915,0.232146,0.515104
1966666,0.051426,0.070835,0.232099,0.512000
2000000,0.051052,0.070535,0.231552,0.508399
2033333,0.050700,0.070205,0.230803,0.504790
2066666,0.050366,0.069827,0.229992,0.501142
2100000,0.050022,0.069349,0.229425,0.497398
2133333,0.049656,0.069020,0.228884,0.494393
2166666,0.049374,0.068714,0.228548,0.491635
2200000,0.049076,0.068400,0.227949,0.489006
2233333,0.048766,0.068071,0.227158,0.486417
2266666,0.048603,0.067687,0.227496,0.484334
2300000,0.048632,0.067450,0.228120,0.483383
2333333,0.048514,0.067523,0.228669,0.483884
2366666,0.048551,0.067484,0.229331,0.484021
2400000,0.048740,0.067747,0.231082,0.485723
2433333,0.049304,0.068109,0.233532,0.487986
2466666,0.049409,0.067946,0.235352,0.488086
2500000,0.049326,0.067861,0.237963,0.488336
2533333,0.049172,0.067687,0.239415,0.487525
2566666,0.048940,0.067426,0.240112,0.486264
2600000,0.048684,0.067283,0.241529,0.485100
2633333,0.048606,0.067117,0.243614,0.483089
2666666,0.048451,0.067178,0.244112,0.482564
2700000,0.048310,0.067364,0.244991,0.481914
2733333,0.048132,0.067398,0.245622,0.481606
2766666,0.048124,0.067196,0.247498,0.479884
2800000,0.048308,0.066901,0.251221,0.477607
2833333,0.048675,0.066645,0.254601,0.475462
2866666,0.049069,0.066493,0.257385,0.474015
2900000,0.049218,0.066207,0.259422,0.472095
